cycle = 1, strength = 0, x = 1
cycle = 2, strength = 0, x = 1
cycle = 3, strength = 0, x = 16
cycle = 4, strength = 0, x = 16
cycle = 5, strength = 0, x = 5
cycle = 6, strength = 0, x = 5
cycle = 7, strength = 0, x = 11
cycle = 8, strength = 0, x = 11
cycle = 9, strength = 0, x = 8
cycle = 10, strength = 0, x = 8
cycle = 11, strength = 0, x = 13
cycle = 12, strength = 0, x = 13
cycle = 13, strength = 0, x = 12
cycle = 14, strength = 0, x = 12
cycle = 15, strength = 0, x = 4
cycle = 16, strength = 0, x = 4
cycle = 17, strength = 0, x = 17
cycle = 18, strength = 0, x = 17
cycle = 19, strength = 0, x = 21
cycle * x = 420
cycle = 20, strength = 420, x = 21
cycle = 21, strength = 420, x = 21
cycle = 22, strength = 420, x = 20
cycle = 23, strength = 420, x = 20
cycle = 24, strength = 420, x = 25
cycle = 25, strength = 420, x = 25
cycle = 26, strength = 420, x = 24
cycle = 27, strength = 420, x = 24
cycle = 28, strength = 420, x = 29
cycle = 29, strength = 420, x = 29
cycle = 30, strength = 420, x = 28
cycle = 31, strength = 420, x = 28
cycle = 32, strength = 420, x = 33
cycle = 33, strength = 420, x = 33
cycle = 34, strength = 420, x = 32
cycle = 35, strength = 420, x = 32
cycle = 36, strength = 420, x = 37
cycle = 37, strength = 420, x = 37
cycle = 38, strength = 420, x = 36
cycle = 39, strength = 420, x = 36
cycle * x = 40
cycle = 40, strength = 460, x = 1
cycle = 41, strength = 460, x = 1
cycle = 42, strength = 460, x = 2
cycle = 43, strength = 460, x = 2
cycle = 44, strength = 460, x = 26
cycle = 45, strength = 460, x = 26
cycle = 46, strength = 460, x = 7
cycle = 47, strength = 460, x = 7
cycle = 48, strength = 460, x = 8
cycle = 49, strength = 460, x = 8
cycle = 50, strength = 460, x = 24
cycle = 51, strength = 460, x = 24
cycle = 52, strength = 460, x = 13
cycle = 53, strength = 460, x = 13
cycle = 54, strength = 460, x = 13
cycle = 55, strength = 460, x = 13
cycle = 56, strength = 460, x = 34
cycle = 57, strength = 460, x = 34
cycle = 58, strength = 460, x = 19
cycle = 59, strength = 460, x = 19
cycle * x = 1140
cycle = 60, strength = 1600, x = 19
cycle = 61, strength = 1600, x = 19
cycle = 62, strength = 1600, x = 16
cycle = 63, strength = 1600, x = 16
cycle = 64, strength = 1600, x = 25
cycle = 65, strength = 1600, x = 25
cycle = 66, strength = 1600, x = 26
cycle = 67, strength = 1600, x = 26
cycle = 68, strength = 1600, x = 23
cycle = 69, strength = 1600, x = 23
cycle = 70, strength = 1600, x = 31
cycle = 71, strength = 1600, x = 31
cycle = 72, strength = 1600, x = 32
cycle = 73, strength = 1600, x = 32
cycle = 74, strength = 1600, x = 37
cycle = 75, strength = 1600, x = 37
cycle = 76, strength = 1600, x = 37
cycle = 77, strength = 1600, x = 37
cycle = 78, strength = 1600, x = 37
cycle = 79, strength = 1600, x = 37
cycle * x = 2960
cycle = 80, strength = 4560, x = 37
cycle = 81, strength = 4560, x = 1
cycle = 82, strength = 4560, x = 1
cycle = 83, strength = 4560, x = 1
cycle = 84, strength = 4560, x = 2
cycle = 85, strength = 4560, x = 2
cycle = 86, strength = 4560, x = 9
cycle = 87, strength = 4560, x = 9
cycle = 88, strength = 4560, x = 9
cycle = 89, strength = 4560, x = 9
cycle = 90, strength = 4560, x = 9
cycle = 91, strength = 4560, x = 11
cycle = 92, strength = 4560, x = 11
cycle = 93, strength = 4560, x = 17
cycle = 94, strength = 4560, x = 17
cycle = 95, strength = 4560, x = 17
cycle = 96, strength = 4560, x = 17
cycle = 97, strength = 4560, x = 17
cycle = 98, strength = 4560, x = 17
cycle = 99, strength = 4560, x = 17
cycle * x = 1800
cycle = 100, strength = 6360, x = 18
cycle = 101, strength = 6360, x = 18
cycle = 102, strength = 6360, x = 18
cycle = 103, strength = 6360, x = 18
cycle = 104, strength = 6360, x = 25
cycle = 105, strength = 6360, x = 25
cycle = 106, strength = 6360, x = 26
cycle = 107, strength = 6360, x = 26
cycle = 108, strength = 6360, x = 26
cycle = 109, strength = 6360, x = 13
cycle = 110, strength = 6360, x = 13
cycle = 111, strength = 6360, x = 26
cycle = 112, strength = 6360, x = 26
cycle = 113, strength = 6360, x = 33
cycle = 114, strength = 6360, x = 33
cycle = 115, strength = 6360, x = 33
cycle = 116, strength = 6360, x = 34
cycle = 117, strength = 6360, x = 34
cycle = 118, strength = 6360, x = 1
cycle = 119, strength = 6360, x = 1
cycle * x = 120
cycle = 120, strength = 6480, x = 1
cycle = 121, strength = 6480, x = 1
cycle = 122, strength = 6480, x = 1
cycle = 123, strength = 6480, x = 3
cycle = 124, strength = 6480, x = 3
cycle = 125, strength = 6480, x = 3
cycle = 126, strength = 6480, x = 3
cycle = 127, strength = 6480, x = 3
cycle = 128, strength = 6480, x = 11
cycle = 129, strength = 6480, x = 11
cycle = 130, strength = 6480, x = 11
cycle = 131, strength = 6480, x = 10
cycle = 132, strength = 6480, x = 10
cycle = 133, strength = 6480, x = 12
cycle = 134, strength = 6480, x = 12
cycle = 135, strength = 6480, x = 13
cycle = 136, strength = 6480, x = 13
cycle = 137, strength = 6480, x = 13
cycle = 138, strength = 6480, x = 30
cycle = 139, strength = 6480, x = 30
cycle * x = 2940
cycle = 140, strength = 9420, x = 21
cycle = 141, strength = 9420, x = 21
cycle = 142, strength = 9420, x = 22
cycle = 143, strength = 9420, x = 22
cycle = 144, strength = 9420, x = 23
cycle = 145, strength = 9420, x = 23
cycle = 146, strength = 9420, x = 20
cycle = 147, strength = 9420, x = 20
cycle = 148, strength = 9420, x = 31
cycle = 149, strength = 9420, x = 31
cycle = 150, strength = 9420, x = 31
cycle = 151, strength = 9420, x = 31
cycle = 152, strength = 9420, x = 32
cycle = 153, strength = 9420, x = 32
cycle = 154, strength = 9420, x = 32
cycle = 155, strength = 9420, x = 33
cycle = 156, strength = 9420, x = 33
cycle = 157, strength = 9420, x = 33
cycle = 158, strength = 9420, x = 33
cycle = 159, strength = 9420, x = 20
cycle * x = 3200
cycle = 160, strength = 12620, x = 20
cycle = 161, strength = 12620, x = 1
cycle = 162, strength = 12620, x = 1
cycle = 163, strength = 12620, x = 2
cycle = 164, strength = 12620, x = 2
cycle = 165, strength = 12620, x = 5
cycle = 166, strength = 12620, x = 5
cycle = 167, strength = 12620, x = 31
cycle = 168, strength = 12620, x = 31
cycle = 169, strength = 12620, x = 1
cycle = 170, strength = 12620, x = 1
cycle = 171, strength = 12620, x = 13
cycle = 172, strength = 12620, x = 13
cycle = 173, strength = 12620, x = 12
cycle = 174, strength = 12620, x = 12
cycle = 175, strength = 12620, x = 15
cycle = 176, strength = 12620, x = 15
cycle = 177, strength = 12620, x = 16
cycle = 178, strength = 12620, x = 16
cycle = 179, strength = 12620, x = 16
cycle * x = 2880
cycle = 180, strength = 15500, x = 16
cycle = 181, strength = 15500, x = 16
cycle = 182, strength = 15500, x = 7
cycle = 183, strength = 15500, x = 7
cycle = 184, strength = 15500, x = 25
cycle = 185, strength = 15500, x = 25
cycle = 186, strength = 15500, x = 26
cycle = 187, strength = 15500, x = 26
cycle = 188, strength = 15500, x = 28
cycle = 189, strength = 15500, x = 28
cycle = 190, strength = 15500, x = 28
cycle = 191, strength = 15500, x = 28
cycle = 192, strength = 15500, x = 37
cycle = 193, strength = 15500, x = 37
cycle = 194, strength = 15500, x = 37
cycle = 195, strength = 15500, x = 37
cycle = 196, strength = 15500, x = 37
cycle = 197, strength = 15500, x = 36
cycle = 198, strength = 15500, x = 36
cycle = 199, strength = 15500, x = 38
cycle * x = 7600
cycle = 200, strength = 23100, x = 38
cycle = 201, strength = 23100, x = 1
cycle = 202, strength = 23100, x = 1
cycle = 203, strength = 23100, x = 2
cycle = 204, strength = 23100, x = 2
cycle = 205, strength = 23100, x = 5
cycle = 206, strength = 23100, x = 5
cycle = 207, strength = 23100, x = 5
cycle = 208, strength = 23100, x = 20
cycle = 209, strength = 23100, x = 20
cycle = 210, strength = 23100, x = -1
cycle = 211, strength = 23100, x = -1
cycle = 212, strength = 23100, x = 21
cycle = 213, strength = 23100, x = 21
cycle = 214, strength = 23100, x = 15
cycle = 215, strength = 23100, x = 15
cycle = 216, strength = 23100, x = 16
cycle = 217, strength = 23100, x = 16
cycle = 218, strength = 23100, x = 16
cycle = 219, strength = 23100, x = 18
cycle * x = 3960
cycle = 220, strength = 27060, x = 18
cycle = 221, strength = 27060, x = 19
cycle = 222, strength = 27060, x = 19
cycle = 223, strength = 27060, x = 19
cycle = 224, strength = 27060, x = 9
cycle = 225, strength = 27060, x = 9
cycle = 226, strength = 27060, x = 9
cycle = 227, strength = 27060, x = 9
cycle = 228, strength = 27060, x = 29
cycle = 229, strength = 27060, x = 29
cycle = 230, strength = 27060, x = 30
cycle = 231, strength = 27060, x = 30
cycle = 232, strength = 27060, x = 32
cycle = 233, strength = 27060, x = 32
cycle = 234, strength = 27060, x = 34
cycle = 235, strength = 27060, x = 34
cycle = 236, strength = 27060, x = 28
cycle = 237, strength = 27060, x = 28
cycle = 238, strength = 27060, x = 17
cycle = 239, strength = 27060, x = 17
cycle * x = 4080
cycle = 240, strength = 31140, x = 17
